x,y,z,sx,sy,sz
755499.32,3279272.93,32.63,0.0061,0.0062,0.0153
755499.51,3279273.39,32.66,0.0053,0.0052,0.0132
755505.55,3279276.95,33.00,0.0086,0.0072,0.0222
755499.51,3279273.57,32.66,0.0052,0.0051,0.0129
755505.15,3279282.90,33.06,0.0084,0.0106,0.0216
755499.94,3279273.18,32.64,0.0066,0.0064,0.0154
755505.64,3279276.78,32.97,0.0056,0.0054,0.0132
755506.17,3279276.61,33.03,0.0060,0.0056,0.0141
755507.76,3279280.00,33.16,0.0065,0.0064,0.0151
755500.67,3279273.51,32.73,0.0049,0.0049,0.0119
755498.18,3279272.42,32.65,0.0060,0.0059,0.0145
755497.54,3279271.70,32.63,0.0059,0.0085,0.0174
755500.40,3279274.43,32.72,0.0051,0.0054,0.0141
755505.63,3279276.99,33.00,0.0149,0.0079,0.0292
755503.44,3279275.20,32.83,0.0053,0.0056,0.0149
755505.88,3279278.03,33.05,0.0058,0.0056,0.0136
755497.68,3279273.76,32.64,0.0093,0.0074,0.0208
755501.53,3279273.87,32.68,0.0063,0.0068,0.0181
755501.40,3279275.35,32.75,0.0051,0.0050,0.0123
755501.70,3279274.54,32.75,0.0049,0.0049,0.0117
755499.74,3279274.41,32.71,0.0051,0.0049,0.0127
755497.82,3279272.05,32.64,0.0069,0.0084,0.0183
755507.65,3279279.05,33.06,0.0136,0.0103,0.0266
755498.46,3279271.91,32.64,0.0055,0.0060,0.0140
755504.79,3279279.15,33.03,0.0076,0.0077,0.0214
755506.55,3279278.35,33.06,0.0059,0.0057,0.0138
755501.18,3279274.28,32.63,0.0073,0.0077,0.0135
755497.65,3279273.36,32.64,0.0075,0.0064,0.0170
755499.91,3279273.72,32.67,0.0057,0.0057,0.0147
755499.70,3279278.24,32.78,0.0051,0.0055,0.0127
755508.47,3279280.82,33.17,0.0080,0.0072,0.0171
755507.23,3279279.49,33.07,0.0097,0.0088,0.0209
755506.37,3279276.67,33.07,0.0065,0.0057,0.0146
755509.42,3279278.90,33.14,0.0079,0.0064,0.0160
755505.97,3279276.94,32.95,0.0113,0.0110,0.0243
755500.62,3279273.90,32.76,0.0049,0.0049,0.0120
755506.35,3279277.59,33.08,0.0062,0.0058,0.0144
755499.35,3279273.55,32.60,0.0061,0.0055,0.0115
755508.18,3279278.82,33.08,0.0076,0.0062,0.0162
755503.86,3279276.41,32.84,0.0056,0.0054,0.0161
755509.22,3279280.02,33.15,0.0093,0.0069,0.0176
755508.53,3279279.82,33.09,0.0115,0.0094,0.0216
755500.27,3279275.24,32.72,0.0057,0.0055,0.0153
755500.90,3279275.88,32.76,0.0057,0.0057,0.0165
755508.62,3279280.53,33.14,0.0070,0.0069,0.0160
755502.41,3279277.16,32.81,0.0054,0.0055,0.0148
755497.11,3279274.18,32.66,0.0054,0.0051,0.0132
