DJI_0001.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
DJI_0008.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, -0.210438, -0.024545, 0.975561, -0.116515, -0.228452, -0.0263276
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, 0.0228371, -0.0635848, -0.71375, 0.0852597, 0.163083, 0.0471696
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, -0.0562723, 0.167026, -0.294841, 0.0404475, 0.0502198, 0.0079751
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.000726353, 0.0499526, 0.211107, -0.0714731, 0.0199138, -0.0112565
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, 0.0684002, 0.0114568, -0.31779, 0.0386977, 0.0809997, 0.00259113
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, -0.107269, -0.0201043, 0.463778, -0.0534583, -0.124693, -0.00780143
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.00885012, 0.0128934, -0.0222981, 0.0581298, -0.0144926, -0.00951803
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.012692, -0.0491295, 0.0261331, 0.0193687, 0.00260137, 0.048467
-0.210438, 0.0228371, -0.0562723, 0.000726353, 0.0684002, -0.107269, 0.00885012, -0.012692, 1, 0.268714, -0.234847, 0.194123, 0.773516, 0.230044
-0.024545, -0.0635848, 0.167026, 0.0499526, 0.0114568, -0.0201043, 0.0128934, -0.0491295, 0.268714, 1, -0.0697599, -0.713588, 0.641322, -0.333905
