imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
DJI_0075.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755491.313283, 3279284.049196, 41.966520, 755489.219831, 3279285.384478, 60.131000, 5.000000, 5.000000, 10.000000, -3.062665, 1.259863, 64.141066, 0.008948, 0.009121, 0.045234, 0.046762, 0.037976, 0.013954, 1.000000
DJI_0076.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755490.034232, 3279285.487789, 41.679014, 755487.974093, 3279286.770334, 60.131000, 5.000000, 5.000000, 10.000000, -3.235739, 1.620541, 63.294308, 0.008479, 0.008922, 0.043765, 0.045313, 0.038495, 0.013617, 1.000000
DJI_0077.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755488.644498, 3279286.825677, 41.661259, 755486.310422, 3279288.420890, 60.131000, 5.000000, 5.000000, 10.000000, -3.005887, 1.912031, 62.204301, 0.008520, 0.008829, 0.043607, 0.045451, 0.039804, 0.013289, 1.000000
DJI_0078.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755487.328584, 3279288.069811, 41.775721, 755485.134663, 3279289.571095, 60.131000, 5.000000, 5.000000, 10.000000, -3.227687, 1.951197, 62.772474, 0.008442, 0.008935, 0.044072, 0.045224, 0.039298, 0.013123, 1.000000
DJI_0079.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755485.912409, 3279289.360754, 41.933271, 755483.474570, 3279291.064597, 60.131000, 5.000000, 5.000000, 10.000000, -3.085376, 1.875232, 62.296721, 0.008385, 0.008955, 0.044808, 0.044203, 0.039299, 0.012998, 1.000000
DJI_0080.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755484.576690, 3279290.776110, 41.864521, 755482.179627, 3279292.483225, 60.131000, 5.000000, 5.000000, 10.000000, -3.126680, 2.003784, 62.351323, 0.008428, 0.008940, 0.044463, 0.044120, 0.040536, 0.012773, 1.000000
DJI_0081.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755483.306763, 3279292.128168, 42.055046, 755481.095567, 3279293.626275, 60.031000, 5.000000, 5.000000, 10.000000, -3.064194, 2.182798, 62.176233, 0.008569, 0.009148, 0.045398, 0.043470, 0.041611, 0.012981, 1.000000
DJI_0082.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755481.986189, 3279293.589853, 42.096470, 755479.752497, 3279295.148564, 60.131000, 5.000000, 5.000000, 10.000000, -2.942183, 1.775072, 62.282306, 0.008726, 0.009307, 0.045672, 0.042799, 0.043400, 0.013313, 1.000000
DJI_0083.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755480.655349, 3279294.935770, 42.258485, 755478.309448, 3279296.687064, 60.131000, 5.000000, 5.000000, 10.000000, -2.449736, 2.859936, 62.116075, 0.009385, 0.009435, 0.046500, 0.043713, 0.043627, 0.013488, 1.000000
DJI_0084.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755479.233530, 3279296.285593, 42.626135, 755476.844355, 3279298.129547, 60.131000, 5.000000, 5.000000, 10.000000, -2.209313, 2.462474, 62.867830, 0.009864, 0.009623, 0.048417, 0.043501, 0.043511, 0.013965, 1.000000
